name,n_occurences
attitude and heading reference system,1
attitude change,2
attitude control,2
attitudinal analytics,1
attraction,20
attractiveness,18
attractor,28
attribute domain,5
attribute grammar,3
attribution,6
attribution bias,1
attunement,1
atypical cells,1
auction theory,1
audience measurement,9
audience participation,5
audience reception,1
audification,2
audio analyzer,6
audio description,2
audio electronics,1
audio equipment,2
audio feedback,2
audio frequency,2
audio media,2
audio mining,5
audio mixing (recorded music),3
audio over ethernet,2
audio signal,50
audio signal flow,7
audio signal processing,100
audio time-scale/pitch modification,2
audio watermark,1
audiology,1
audiovisual aids,1
audiovisual document,2
audiovisual material,1
audit,6
audit trail,2
auditory display,33
auditory feedback,14
auditory masking,2
auditory scene analysis,2
augment,2
augmentative,2
augmentative and alternative communication,1
augmented cognition,3
augmented lagrangian method,5
augmented learning,2
augmented reality,2088
augmented transition network,1
augmented virtuality,17
aura,4
auralization,11
aurin,1
auscultation,1
australian synchrotron,2
authentication,47
author name,1
authoring system,31
authorization,8
autism,11
autism diagnostic observation schedule,1
autism spectrum disorder,2
autobiographical memory,4
autocomplete,3
autocorrelation,11
autocovariance,1
autodock,2
autoencoder,17
autofocus,9
autoignition temperature,1
automata theory,5
automated data processing,1
automated fingerprint identification,1
automated guided vehicle,1
automated information system,2
automated optical inspection,1
automated planning and scheduling,5
automated reasoning,5
automated storage and retrieval system,2
automated technique,6
automated theorem proving,7
automated x-ray inspection,2
automatic content extraction,1
automatic control,34
automatic data processing,1
automatic differentiation,7
automatic exposure control,4
automatic frequency control,3
automatic gain control,5
automatic identification and data capture,45
automatic identification system,5
automatic image annotation,79
automatic indexing,3
automatic label placement,8
automatic meter reading,1
automatic parallelization,4
automatic programming,14
automatic summarization,126
automatic test equipment,3
automatic test pattern generation,2
automatic vehicle location,1
automation,131
automatism (medicine),1
automaton,2
automotive electronics,3
automotive engineering,1
automotive industry,35
automotive paint,2
autonomic computing,7
autonomic nervous system,3
autonomous agent,43
autonomous robot,12
autonomous system (internet),5
autonomous system (mathematics),10
autonomy,6
autopilot,2
autorefractor,1
autoregressive conditional heteroskedasticity,1
autoregressive model,15
autosar,1
autoscaling,1
autostereogram,9
autostereoscopy,200
auxiliary line,2
auxiliary memory,30
available light,3
avatar,33
aventurescence,1
average bitrate,3
average cost,3
average-case complexity,1
averageness,2
aviation,6
aviation accident,2
avida,1
avionics,5
avl tree,1
awake craniotomy,1
awk,1
axial symmetry,3
axiom,4
axis determination,1
axis surface,1
axis-aligned object,1
axonometric projection,5
azimuth,22
b-spline,79
babbling,1
bachelor,1
back pain,3
back-face culling,22
backbone network,3
backchannel,1
background correction,3
background debug mode interface,3
background noise,9
background process,2
background subtraction,64
backhaul (telecommunications),1
backjumping,1
backlash,3
backlight,52
backplane,1
backporting,2
backpropagation,10
backscatter,7
backstepping,5
backtracking,10
backup,4
backward compatibility,20
backward euler method,3
bacterial genome size,2
bacteriorhodopsins,1
bag-of-words model,7
bag-of-words model in computer vision,1
balance (ability),2
balance exercises,1
balance performance,1
balanced flow,1
balanced histogram thresholding,5
balanced scorecard,4
balayage,4
bald eagle,1
ball (bearing),16
ball lightning,2
ball screw,1
ball tree,1
ball-catching,4
ballad,1
ballet,7
balloon,11
ballot,3
bamboo,3
band i,2
band ii,2
band-pass filter,5
bandage,1
bandlimiting,2
bandwagon effect,1
bandwidth (signal processing),176
bandwidth allocation,5
bandwidth extension,1
bandwidth management,3
bandwidth throttling,1
bang-bang robot,1
banknote,1
bankruptcy prediction,1
bantu languages,1
bar chart,50
barcode,21
bardo,1
bargaining problem,1
barge,1
bark,5
barnes–hut simulation,5
baroclinity,1
baroque,6
baroque music,2
barycentric coordinate system,11
barycentric coordinates,10
barycentric subdivision,3
base (topology),1
base calling,1
base flow,1
base pair,7
base station,11
base transceiver station,1
base unit (measurement),1
base64,3
baseball bat,1
baseball field,2
baseball game,4
baseband,2
based wide,1
baseline (configuration management),5
basic audio,2
basic block,3
basic data structure,1
basic dimension,1
basic formal ontology,1
basic life support,1
basic local alignment search tool,1
basic science,3
basic skills,3
basis (linear algebra),6
basis function,93
basis pursuit,1
basis pursuit denoising,1
basis set,1
basketball,8
basketball court,2
bat algorithm,2
batch processing,34
bathymetry,14
battery (electricity),8
battle,40
battlefield,18
battlespace,4
baud,2
bawean deer,1
bay,6
bayer filter,12
bayes estimator,3
bayes' theorem,8
bayesian inference,21
bayesian information criterion,2
bayesian linear regression,1
bayesian network,25
bayesian optimization,2
bayesian probability,30
bayesian statistics,1
bcpl,2
beacon,1
bead,4
bead shape,2
beadwork,2
beam (structure),32
beam search,3
beam splitter,9
beam tracing,123
beamforming,13
bearing (mechanical),8
beat (acoustics),2
beat (music),20
beat detection,1
beautification,15
beauty,40
bedrock,1
bedroom,2
bedtime,3
beehive,1
begging,1
behavior change,10
behavior trees,2
behavior-based robotics,1
behavioral modeling,10
behavioral pattern,22
behavioural analysis,3
behavioural sciences,7
behemoth,1
beijing,7
belgica,1
belief propagation,24
belief revision,1
bellman equation,4
bellows,2
benchmark (computing),46
benchmark (surveying),1
benchmarking,57
benders' decomposition,2
bending,26
bending moment,1
bending of plates,1
bending stiffness,1
benediction,1
beneficiary,1
benford's law,1
bent molecular geometry,4
benthic zone,1
berkeley software distribution,1
bernstein polynomial,2
bespoke,12
bessel function,1
best bin first,1
best current practice,1
best evidence rule,1
best practice,33
best response,1
beta (finance),5
beta distribution,1
beta movement,1
beta rhythm,1
beta skeleton,1
betti number,1
between-group design,1
betweenness centrality,7
bevel,1
bevel needle,1
bhatnagar–gross–krook operator,1
bhattacharyya distance,2
biarc,4
bias of an estimator,3
biasing,3
bibliographic database,8
bibliography,29
bibliometrics,10
biclustering,8
biconnected component,1
bicubic interpolation,38
bidding,2
bidirected graph,1
bidirectional forwarding detection,1
bidirectional reflectance distribution function,174
bidirectional scattering distribution function,19
bidirectional texture function,94
bidomain model,1
big bang,2
big cat,1
big data,427
big five personality traits,9
big five personality traits and culture,1
big idea,1
biggest little polygon,3
biggest problem,1
bigram,1
bigraph,1
biharmonic equation,5
bijection,11
bilateral filter,98
bilayer,2
bildung,2
bilevel optimization,1
bilinear filtering,4
bilinear interpolation,104
bilinear map,2
bilinear transform,1
billion cells,2
bimorph,1
bin,21
bin packing problem,1
binary black hole,1
binary classification,5
binary code,5
binary code compatibility,2
binary constraint,1
binary data,15
binary decision diagram,6
binary erasure channel,1
binary expression tree,2
binary form,1
binary function,1
binary gcd algorithm,1
binary golay code,1
binary image,140
binary independence model,1
binary logarithm,13
binary number,90
binary object,2
binary operation,2
binary ordered compression for unicode,1
binary pattern,5
binary relation,4
binary scaling,1
binary search algorithm,15
binary search tree,5
binary space partitioning,63
binary splitting,2
binary star,1
binary symmetric channel,2
binary tree,48
binaural recording,71
binding (molecular function),2
binding site,2
bingham distribution,1
